,name,part,speech_ratio
0,mDRMCwSD3Ms.001.wav,Val,0.9228491373676644
1,nUazOUcW_AM.002.wav,Val,0.7104871912168345
2,8AnIttmflwI.000.wav,Val,0.7418270487517973
3,XB81sertsYU.004.wav,Val,0.6320374787609463
4,alucqviYJFE.005.wav,Val,0.8575145405829304
5,FTk2SCmJI_w.005.wav,Val,0.8032569271990591
6,e3Y7na4SBh4.003.wav,Val,0.851637040909685
7,8Z6PrQdqffA.000.wav,Val,0.6882556201803687
8,l3IoZ_QmOQo.002.wav,Val,0.6333608351849431
9,_G3kw9HwCqY.001.wav,Val,0.5007106914128872
10,6nbxAP_ZKQQ.004.wav,Val,0.8320276761207686
11,AR3UwbmgKuQ.002.wav,Val,0.5830406156058032
12,Kbcvurfuvhk.001.wav,Val,0.888217226506339
13,51KRxB3g7A8.001.wav,Val,0.7477127172918573
14,okSmKH2k5lE.003.wav,Val,0.8587970526728533
15,Kv0kZgqZEM0.002.wav,Val,0.7980492746046269
16,PXJfSp2WvVY.004.wav,Val,0.6980664292249379
17,12Ezy1y1cWY.004.wav,Val,0.1308325709057639
18,MswJxdf-3Fc.003.wav,Val,0.8424756567768918
19,QNVsr2mGwGs.000.wav,Val,0.8921096915435891
20,y4w-PiVPfjI.001.wav,Val,0.7653533851784081
21,X1EjfXX3NTk.002.wav,Val,0.6483956345575742
22,xRhUBifOWiI.002.wav,Val,0.7202734936609594
23,4CiR99jTzso.002.wav,Val,0.8326771010325448
24,N5YT0FFd3-s.001.wav,Val,0.756212423212652
25,4kIHxR6s1L4.000.wav,Val,0.7117778721735721
26,BmDClgdWlH4.005.wav,Val,0.922845052934257
27,vqLtOsoNPnU.001.wav,Val,0.8235402235001961
28,TNtcyfM9jak.004.wav,Val,0.8006510586851392
29,L5kpy0SA7os.002.wav,Val,0.8026156711540976
30,19pTUX8KfYM.004.wav,Val,0.8189534047836885
31,MCqC9VBT4q4.001.wav,Val,0.7320448307410796
32,YPnuq0tDDqk.001.wav,Val,0.6137514703960267
33,F-Dy1EFm_Mw.003.wav,Val,0.792813030976343
34,78zauTEQ-k8.003.wav,Val,0.8666432492484644
35,Rwsss8y1bf0.003.wav,Val,0.7843092406221409
36,1TXS1Zg4wDc.001.wav,Val,0.7712553914520978
37,lnawWqnGpMc.003.wav,Val,0.8764663115932558
38,fUIWjaZCYwM.002.wav,Val,0.6052558489086395
39,EfQUV-C-YrU.003.wav,Val,0.8013004835969155
40,ApCq0dwH1Ak.000.wav,Val,0.7810621160632597
41,blAjqQ0ja8Q.001.wav,Val,0.8333183570775062
42,_QXI4n_FRN4.000.wav,Val,0.6987158541367142
43,-DOqN0d8KHw.000.wav,Val,0.7771369755587505
44,oJPdfhG4hT0.000.wav,Val,0.8281066200496667
45,-RqxrwIxMvE.002.wav,Val,0.7980247680041825
